K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:
C21231	PhrA pentapeptide	NA
C21232	PhrC pentapeptide	NA
C21233	PhrE pentapeptide	NA
C21234	PhrF pentapeptide	NA
C21235	PhrG pentapeptide	NA
C21236	PhrH pentapeptide	NA
C21237	PhrK pentapeptide	NA
C21238	NprX peptide	NA
C21239	PapR peptide	NA
C21240	Gentamicin C 2''-phosphate	NA
C21241	AIP-2	NA
C21242	AIP-3	NA
C21243	AIP-4	NA
C21244	AgrD peptide	NA
C21245	AgrD1 peptide	NA
C21246	GBAP;	NA
C21247	2-Amino-5-epi-valiolone	NA
C21248	2-Aminovalienone	NA
C21249	Cetoniacytone B	NA
C21250	2-Methyl-trans-aconitate	NA
C21251	6'-Oxokanamycin X	NA
C21252	6'-Oxokanamycin C	NA
C21253	Kanamycin D	NA
C21254	3''-Deamino-3''-hydroxykanamycin B;	NA
C21255	Lividamine	NA
C21256	6'-Oxolividamine	NA
C21257	4'-Oxolividamine;	NA
C21258	4'-Oxonebramine	NA
C21259	Nebramine;	NA
C21260	5''-Phosphoribosylparomamine	NA
C21261	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II	NA
C21262	6'''-Deamino-6'''-hydroxyparomomycin II	NA
C21263	6'''-Deamino-6'''-oxoparomomycin II	NA
C21264	5'''-epi-Lividomycin B	NA
C21265	3''-Oxogentamicin A2	NA
C21266	3''-Amino-3''-deoxygentamicin A2;	NA
C21267	6'-Oxogentamicin X2	NA
C21268	6'-Oxo-G418	NA
C21269	Antibiotic JI-20Ba;	NA
C21270	Gentamicin C2a	NA
C21273	Benfluralin	NA
C21275	Mycolactone C	NA
C21276	Mycolactone D	NA
C21277	Mycolactone E	NA
C21278	Mycolactone F	NA
C21279	BGC 945;	NA
C21280	AG 2034	NA
C21281	Demethyl-4-deoxygadusol;	NA
C21282	2-epi-Valiolone;	NA
C21283	3-Indoleacrylate;	NA
C21284	Fe-coproporphyrin III;	NA
C21285	D-Erythrulose 1-phosphate	NA
C21286	L-Erythrulose 4-phosphate	NA
C21287	2-Hydroxyisobutanoyl-CoA;	NA
C21288	(2S,3R)-2-Hydroxy-3-(indol-3-yl)butanoate;	NA
C21289	(R)-3-(Indol-3-yl)-2-oxobutyrate;	NA
C21290	2-Methylpropane-1,2-diol;	NA
C21291	2-Hydroxy-2-methylpropanal;	NA
C21292	Maduropeptin chromophore;	NA
C21293	Validamycin B	NA
C21294	D-Erythritol 1-phosphate	NA
C21295	5-Methylphenazine-1-carboxylate	NA
C21296	1alpha-Hydroxytestosterone	NA
C21297	2-Hydroxy-2-methylpropanoate;	NA
C21298	2,6-Dihydroxybenzoate;	NA
C21299	RCH2NHR'	NA
C21300	R'NH2	NA
C21301	Kedarcidin chromophore	NA
C21303	(25R)-26-Hydroxycholest-4-en-3-one	NA
C21304	(25S)-26-Oxocholest-4-en-3-one	NA
C21305	(25R)-26-Oxocholest-4-en-3-one	NA
C21306	3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate	NA
C21307	3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate	NA
C21308	(S)-beta-Tyrosine	NA
C21309	(S)-beta-Tyrosyl-[pcp]	NA
C21310	(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate	NA
C21311	3-(4-Hydroxyphenyl)-3-oxopropanoyl-[pcp];	NA
C21312	6-Methylsalicylyl-CoA	NA
C21313	3,6-Dimethylsalicylyl-CoA	NA
C21314	NDP-D-mannose	NA
C21315	NDP-4-oxo-6-deoxy-D-mannose	NA
C21316	NDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose	NA
C21317	NDP-2-amino-4-oxo-2,6-dideoxy-D-galactose	NA
C21318	NDP-2-amino-2,6-dideoxy-D-galactose	NA
C21319	NDP-2-methylamino-2,6-dideoxy-D-galactose	NA
C21320	3,6,8-Trihydroxy-2-naphthoate;	NA
C21321	3,6,7,8-Tetrahydroxy-2-naphthoate	NA
C21322	3-Hydroxy-6,7,8-trimethoxy-2-naphthoate	NA
C21323	3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoate;	NA
C21324	3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	NA
C21325	Azatyrosine;	NA
C21326	(R)-2-Aza-beta-tyrosine	NA
C21327	(R)-2-Aza-beta-tyrosyl-[pcp]	NA
C21328	(R)-2-Aza-3-chloro-beta-tyrosyl-[pcp]	NA
C21329	Benzoyl cyanide;	NA
C21330	Aurachin C	NA
C21331	Aurachin C epoxide;	NA
C21332	8-Dehydro-3-deoxy-D-manno-octulosonate;	NA
C21333	8-Amino-3,8-dideoxy-D-manno-octulosonate;	NA
C21334	CMP-8-amino-3,8-dideoxy-beta-D-manno-octulosonate;	NA
C21335	1,2-beta-Oligomannan;	NA
C21336	beta-1,2-Mannobiose;	NA
C21337	Calicheamicinone	NA
C21338	Calicheamicin T0	NA
C21339	4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0	NA
C21340	Calicheamicin PsAg	NA
C21341	Calicheamicin alpha1(I)	NA
C21342	Calicheamicin alpha3(I)	NA
C21343	Orsellinate-[acp]	NA
C21344	2-Methoxyorsellinate-[acp]	NA
C21345	5-Iodo-2-methoxyorsellinate-[acp]	NA
C21346	3-Hydroxy-5-iodo-2-methoxyorsellinate-[acp]	NA
C21347	5-Iodo-2,3-dimethoxyorsellinate-[acp];	NA
C21348	dTDP-4-hydroxyamino-4,6-dideoxy-alpha-D-glucose	NA
C21349	dTDP-4-deoxy-4-thio-alpha-D-digitoxose	NA
C21350	dTDP-3-O-methyl-beta-L-rhamnose	NA
C21351	dTDP-4-oxo-alpha-D-xylose;	NA
C21352	dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene;	NA
C21353	dTDP-4-oxo-2-deoxy-beta-L-xylose;	NA
C21354	dTDP-4-amino-2,4-dideoxy-beta-L-xylose	NA
C21355	dTDP-4-methylamino-2,4-dideoxy-beta-L-xylose	NA
C21356	dTDP-4-ethylamino-3-O-methyl-2,4-dideoxy-L-threo-pentopyranose	NA
C21357	3-Hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-[acp];	NA
C21358	1,3,5,7,9,11,13-Pentadecaheptaene	NA
C21361	3-(2-Chloro-3-hydroxy-4-methoxyphenyl)-3-hydroxypropanoyl-[pcp]	NA
C21362	dTDP-3-methyl-4-oxo-alpha-D-ribopyranose	NA
C21363	dTDP-madurosamine;	NA
C21364	[Fructose-bisphosphate aldolase]-L-lysine	NA
C21365	[Fructose-bisphosphate aldolase]-N6,N6,N6-trimethyl-L-lysine	NA
C21366	3-O-[N-Acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-(6-phospho)mannosyl]-L-threonyl-[protein];	NA
C21367	Valienol 1-phosphate	NA
C21368	GDP-valienol	NA
C21369	N-(2-Methylpropanyl)hydroxylamine;	NA
C21370	(S)-Nandinine	NA
C21371	Validone	NA
C21372	3-Phosphinomethylmalate;	NA
C21373	(3R)-3,4-Epoxy-3-methylbut-1-ene	NA
C21374	2-(Glutathion-S-yl)-2-methylbut-3-en-1-ol	NA
C21375	3-Hydroxy-4-methylanthranilyl-[aryl-carrier protein];	NA
C21376	3,5-Dihydroxy-4-methylanthranilyl-[aryl-carrier protein];	NA
C21377	[F-actin]-L-methionine	NA
C21378	[F-actin]-L-methionine-(R)-S-oxide	NA
C21379	(2S,3R)-Flavan-3-ol	NA
C21380	(2S,3S)-Flavan-3-ol	NA
C21381	Anthocyanidin with a 3-hydroxy group	NA
C21382	R-THMF;	NA
C21383	2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate;	NA
C21384	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate;	NA
C21385	trans-12-Hydroxyjasmonic acid;	NA
C21386	L-Leucyl-L-arginyl-protein;	NA
C21387	L-Leucyl-L-lysyl-protein;	NA
C21388	L-Lysyl-protein;	NA
C21389	tert-Butyl alcohol;	NA
C21390	Butane;	NA
C21391	11a-Hydroxytetracycline	NA
C21392	Multi-methyl-branched acyl-[acp]	NA
C21393	C32-Mycocerosyl-[acp];	NA
C21394	C27-Mycolipanoyl-[acp];	NA
C21395	dTDP-4-(methylamino)-2,3,4,6-tetradeoxy-D-glucose;	NA
C21396	Ethylenediaminetriacetic acid;	NA
C21397	Ethylenediamine-N,N'-diacetic acid;	NA
C21398	Methanesulfinic acid;	NA
C21399	Isocaproate;	NA
C21400	Isocaproyl-CoA;	NA
C21401	tert-Amyl alcohol;	NA
C21402	Isoprenyl alcohol;	NA
C21403	2-Acetamidoethylphosphonate	NA
C21404	N-Ethylacetamide	NA
C21405	(4aS,10bR)-Noroxomaritidine	NA
C21406	(4aR,10bS)-Noroxomaritidine	NA
C21407	7-(hydroxymethyl)-bacteriochlorophyllide c	NA
C21408	(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate	NA
C21409	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1,6-dicarboxylate	NA
C21410	(5aS)-5,5a-Dihydrophenazine-1,6-dicarboxylate	NA
C21411	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1-carboxylate	NA
C21412	(10aS)-10,10a-Dihydrophenazine-1-carboxylate	NA
C21413	(1R)-1,4,5,10-Tetrahydrophenazine-1-carboxylate	NA
C21414	Naphthalene-1,2,4,8-tetrol	NA
C21415	Valienol 7-phosphate	NA
C21416	2-Amino-1,5-anhydro-2-deoxyglucitol	NA
C21417	(2R,3R)-Dihydroflavonol	NA
C21418	(2R,3S,4S)-Leucoanthocyanidin;	NA
C21419	1-(3,4-Dimethoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol	NA
C21420	(3,4-Dimethoxyphenyl)methanol;	NA
C21421	(3,4-Dimethoxyphenyl)methanol radical	NA
C21422	1-(4-Hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol	NA
C21423	1,2-Dihydro-beta-NAD	NA
C21424	1,6-Dihydro-beta-NAD	NA
C21425	Abieta-8,11,13-triene	NA
C21426	3-vinyl bacteriochlorophyllide d	NA
C21427	8,12-Diethyl-3-vinylbacteriochlorophyllide d	NA
C21428	12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d	NA
C21429	12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d	NA
C21430	Malonamoyl-[acyl-carrier protein];	NA
C21431	8-Ethyl-12-methylbacteriochlorophyllide d	NA
C21432	8,12-Diethylbacteriochlorophyllide d	NA
C21433	12-Ethyl-8-propylbacteriochlorophyllide d	NA
C21434	12-Ethyl-8-isobutylbacteriochlorophyllide d	NA
C21435	Geranylgeranyl bacteriochlorophyllide b	NA
C21436	4-Methylamino-4-de(dimethylamino)anhydrotetracycline	NA
C21437	[Sulfur-carrier protein]-Gly-Gly-L-Cys;	NA
C21438	11a-Hydroxyoxytetracycline	NA
C21439	11a-Hydroxy-7-chlortetracycline	NA
C21440	[Protein]-S-sulfanyl-L-cysteine	NA
C21441	Bacteriochlorophyllide g	NA
C21442	Phenazine-1-carboxylate	NA
C21443	N-Demethylindolmycin	NA
C21444	Indolmycin	NA
C21445	17-(4-Hydroxyphenyl)heptadecanoyl adenylate	NA
C21446	17-(4-Hydroxyphenyl)heptadecanoate	NA
C21447	19-(4-Hydroxyphenyl)nonadecanoyl adenylate	NA
C21448	19-(4-Hydroxyphenyl)nonadecanoate	NA
C21449	Lithocholoyl-CoA	NA
C21450	4-(2-Hydroxyethoxycarbonyl)benzoate;	NA
C21451	Poly(ethylene terephthalate);	NA
C21452	2-Aminobenzoylacetyl-CoA	NA
C21453	2-Aminobenzoylacetate	NA
C21454	beta-1,2-Mannotriose;	NA
C21455	L-Leucyl-L-glutamyl-protein;	NA
C21456	L-Glutamyl-protein;	NA
C21457	L-Leucyl-L-aspartyl-protein;	NA
C21458	L-Aspartyl-protein;	NA
C21459	6-Hydroxyferuloyl-CoA	NA
C21460	(3-Hydroxy-4-methylanthranilyl)adenylate;	NA
C21461	Kdo2-lipid A 1-(2-aminoethyl diphosphate)	NA
C21462	Kdo2-lipid A 4'-(2-aminoethyl diphosphate)	NA
C21463	Kdo2-lipid A 1,4'-bis(2-aminoethyl diphosphate)	NA
C21464	4-O-[(2R)-1-Glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	NA
C21465	L-Asparaginyl-protein;	NA
C21466	Protein Nomega-(1-hydroxy-2-oxopropyl)-L-arginine;	NA
C21467	Protein N6-(1-hydroxy-2-oxopropyl)-L-lysine;	NA
C21468	Protein S-(1-hydroxy-2-oxopropyl)-L-cysteine;	NA
C21469	7alpha,12alpha-Dihydroxy-3-oxochol-4-en-24-oyl-CoA	NA
C21470	12alpha-Hydroxy-3-oxochola-4,6-dien-24-oyl-CoA	NA
C21471	7alpha-Hydroxy-3-oxochol-4-en-24-oyl-CoA;	NA
C21472	3-Oxochola-4,6-dien-24-oyl-CoA;	NA
C21473	(1R,5aS,6R)-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate	NA
C21474	5,10-Dihydrophenazine-1,6-dicarboxylate	NA
C21475	5,10-Dihydrophenazine	NA
C21476	Phenazine;	NA
C21477	1-Hydroxyphenazine	NA
C21478	Erastin	NA
C21479	RSL3;	NA
C21480	1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine	NA
C21481	1-Octadecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycero-3-phosphoethanolamine	NA
C21482	1-Octadecanoyl-2-(15S-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine;	NA
C21483	1-Octadecanoyl-2-(15S-hydroperoxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine;	NA
C21484	1-Octadecanoyl-sn-glycero-3-phosphoethanolamine	NA
C21485	Cytidylyl molybdenum cofactor;	NA
C21486	Thio-molybdenum cofactor	NA
C21487	L-cysteinyl-protein	NA
C21488	S-anthraniloyl-L-cysteinyl-protein	NA
C21489	S-octanoyl-L-cysteinyl-protein	NA
C21490	1-(2-Aminophenyl)decane-1,3-dione	NA
ko00010	Glycolysis / Gluconeogenesis	NA
ko00020	Citrate cycle (TCA cycle)	NA
ko00030	Pentose phosphate pathway	NA
ko00040	Pentose and glucuronate interconversions	NA
ko00051	Fructose and mannose metabolism	NA
ko00052	Galactose metabolism	NA
ko00053	Ascorbate and aldarate metabolism	NA
ko00061	Fatty acid biosynthesis	NA
ko00062	Fatty acid elongation	NA
ko00071	Fatty acid degradation	NA
ko00072	Synthesis and degradation of ketone bodies	NA
ko00073	Cutin, suberine and wax biosynthesis	NA
ko00100	Steroid biosynthesis	NA
ko00120	Primary bile acid biosynthesis	NA
ko00121	Secondary bile acid biosynthesis	NA
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	NA
ko00140	Steroid hormone biosynthesis	NA
ko00190	Oxidative phosphorylation	NA
ko00195	Photosynthesis	NA
ko00196	Photosynthesis - antenna proteins	NA
ko00220	Arginine biosynthesis	NA
ko00230	Purine metabolism	NA
ko00231	Puromycin biosynthesis	NA
ko00232	Caffeine metabolism	NA
ko00240	Pyrimidine metabolism	NA
ko00250	Alanine, aspartate and glutamate metabolism	NA
ko00253	Tetracycline biosynthesis	NA
ko00254	Aflatoxin biosynthesis	NA
ko00260	Glycine, serine and threonine metabolism	NA
ko00261	Monobactam biosynthesis	NA
ko00270	Cysteine and methionine metabolism	NA
ko00280	Valine, leucine and isoleucine degradation	NA
ko00281	Geraniol degradation	NA
ko00290	Valine, leucine and isoleucine biosynthesis	NA
ko00300	Lysine biosynthesis	NA
ko00310	Lysine degradation	NA
ko00311	Penicillin and cephalosporin biosynthesis	NA
ko00330	Arginine and proline metabolism	NA
ko00331	Clavulanic acid biosynthesis	NA
ko00332	Carbapenem biosynthesis	NA
ko00340	Histidine metabolism	NA
ko00350	Tyrosine metabolism	NA
ko00360	Phenylalanine metabolism	NA
ko00361	Chlorocyclohexane and chlorobenzene degradation	NA
ko00362	Benzoate degradation	NA
ko00363	Bisphenol degradation	NA
ko00364	Fluorobenzoate degradation	NA
ko00365	Furfural degradation	NA
ko00380	Tryptophan metabolism	NA
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	NA
ko00401	Novobiocin biosynthesis	NA
ko00402	Benzoxazinoid biosynthesis	NA
ko00403	Indole diterpene alkaloid biosynthesis	NA
ko00404	Staurosporine biosynthesis	NA
ko00405	Phenazine biosynthesis	NA
ko00410	beta-Alanine metabolism	NA
ko00430	Taurine and hypotaurine metabolism	NA
ko00440	Phosphonate and phosphinate metabolism	NA
ko00450	Selenocompound metabolism	NA
ko00460	Cyanoamino acid metabolism	NA
ko00471	D-Glutamine and D-glutamate metabolism	NA
ko00472	D-Arginine and D-ornithine metabolism	NA
ko00473	D-Alanine metabolism	NA
ko00480	Glutathione metabolism	NA
ko00500	Starch and sucrose metabolism	NA
ko00510	N-Glycan biosynthesis	NA
ko00511	Other glycan degradation	NA
ko00512	Mucin type O-glycan biosynthesis	NA
ko00513	Various types of N-glycan biosynthesis	NA
ko00514	Other types of O-glycan biosynthesis	NA
ko00515	Mannose type O-glycan biosynthesis	NA
ko00520	Amino sugar and nucleotide sugar metabolism	NA
ko00521	Streptomycin biosynthesis	NA
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	NA
ko00523	Polyketide sugar unit biosynthesis	NA
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	NA
ko00525	Acarbose and validamycin biosynthesis	NA
ko00531	Glycosaminoglycan degradation	NA
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	NA
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA
ko00540	Lipopolysaccharide biosynthesis	NA
ko00550	Peptidoglycan biosynthesis	NA
ko00561	Glycerolipid metabolism	NA
ko00562	Inositol phosphate metabolism	NA
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	NA
ko00564	Glycerophospholipid metabolism	NA
ko00565	Ether lipid metabolism	NA
ko00590	Arachidonic acid metabolism	NA
ko00591	Linoleic acid metabolism	NA
ko00592	alpha-Linolenic acid metabolism	NA
ko00600	Sphingolipid metabolism	NA
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	NA
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	NA
ko00604	Glycosphingolipid biosynthesis - ganglio series	NA
ko00620	Pyruvate metabolism	NA
ko00621	Dioxin degradation	NA
ko00622	Xylene degradation	NA
ko00623	Toluene degradation	NA
ko00624	Polycyclic aromatic hydrocarbon degradation	NA
ko00625	Chloroalkane and chloroalkene degradation	NA
ko00626	Naphthalene degradation	NA
ko00627	Aminobenzoate degradation	NA
ko00630	Glyoxylate and dicarboxylate metabolism	NA
ko00633	Nitrotoluene degradation	NA
ko00640	Propanoate metabolism	NA
ko00642	Ethylbenzene degradation	NA
ko00643	Styrene degradation	NA
ko00650	Butanoate metabolism	NA
ko00660	C5-Branched dibasic acid metabolism	NA
ko00670	One carbon pool by folate	NA
ko00680	Methane metabolism	NA
ko00710	Carbon fixation in photosynthetic organisms	NA
ko00720	Carbon fixation pathways in prokaryotes	NA
ko00730	Thiamine metabolism	NA
ko00740	Riboflavin metabolism	NA
ko00750	Vitamin B6 metabolism	NA
ko00760	Nicotinate and nicotinamide metabolism	NA
ko00770	Pantothenate and CoA biosynthesis	NA
ko00780	Biotin metabolism	NA
ko00785	Lipoic acid metabolism	NA
ko00790	Folate biosynthesis	NA
ko00791	Atrazine degradation	NA
ko00830	Retinol metabolism	NA
ko00860	Porphyrin and chlorophyll metabolism	NA
ko00900	Terpenoid backbone biosynthesis	NA
ko00901	Indole alkaloid biosynthesis	NA
ko00902	Monoterpenoid biosynthesis	NA
ko00903	Limonene and pinene degradation	NA
ko00904	Diterpenoid biosynthesis	NA
ko00905	Brassinosteroid biosynthesis	NA
ko00906	Carotenoid biosynthesis	NA
ko00908	Zeatin biosynthesis	NA
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	NA
ko00910	Nitrogen metabolism	NA
ko00920	Sulfur metabolism	NA
ko00930	Caprolactam degradation	NA
ko00940	Phenylpropanoid biosynthesis	NA
ko00941	Flavonoid biosynthesis	NA
ko00942	Anthocyanin biosynthesis	NA
ko00943	Isoflavonoid biosynthesis	NA
ko00944	Flavone and flavonol biosynthesis	NA
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	NA
ko00950	Isoquinoline alkaloid biosynthesis	NA
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	NA
ko00965	Betalain biosynthesis	NA
ko00966	Glucosinolate biosynthesis	NA
ko00970	Aminoacyl-tRNA biosynthesis	NA
ko00980	Metabolism of xenobiotics by cytochrome P450	NA
ko00981	Insect hormone biosynthesis	NA
ko00982	Drug metabolism - cytochrome P450	NA
ko00983	Drug metabolism - other enzymes	NA
ko00984	Steroid degradation	NA
ko01040	Biosynthesis of unsaturated fatty acids	NA
ko01051	Biosynthesis of ansamycins	NA
ko01052	Type I polyketide structures	NA
ko01053	Biosynthesis of siderophore group nonribosomal peptides	NA
ko01054	Nonribosomal peptide structures	NA
ko01055	Biosynthesis of vancomycin group antibiotics	NA
ko01056	Biosynthesis of type II polyketide backbone	NA
ko01057	Biosynthesis of type II polyketide products	NA
ko01058	Acridone alkaloid biosynthesis	NA
ko01059	Biosynthesis of enediyne antibiotics	NA
ko01100	Metabolic pathways	NA
ko01110	Biosynthesis of secondary metabolites	NA
ko01120	Microbial metabolism in diverse environments	NA
ko01130	Biosynthesis of antibiotics	NA
ko01200	Carbon metabolism	NA
ko01210	2-Oxocarboxylic acid metabolism	NA
ko01212	Fatty acid metabolism	NA
ko01220	Degradation of aromatic compounds	NA
ko01230	Biosynthesis of amino acids	NA
ko01501	beta-Lactam resistance	NA
ko01502	Vancomycin resistance	NA
ko01503	Cationic antimicrobial peptide (CAMP) resistance	NA
ko01521	EGFR tyrosine kinase inhibitor resistance	NA
ko01522	Endocrine resistance	NA
ko01523	Antifolate resistance	NA
ko01524	Platinum drug resistance	NA
ko02010	ABC transporters	NA
ko02020	Two-component system	NA
ko02024	Quorum sensing	NA
ko02025	Biofilm formation - Pseudomonas aeruginosa	NA
ko02026	Biofilm formation - Escherichia coli	NA
ko02030	Bacterial chemotaxis	NA
ko02040	Flagellar assembly	NA
ko02060	Phosphotransferase system (PTS)	NA
ko03008	Ribosome biogenesis in eukaryotes	NA
ko03010	Ribosome	NA
ko03013	RNA transport	NA
ko03015	mRNA surveillance pathway	NA
ko03018	RNA degradation	NA
ko03020	RNA polymerase	NA
ko03022	Basal transcription factors	NA
ko03030	DNA replication	NA
ko03040	Spliceosome	NA
ko03050	Proteasome	NA
ko03060	Protein export	NA
ko03070	Bacterial secretion system	NA
ko03320	PPAR signaling pathway	NA
ko03410	Base excision repair	NA
ko03420	Nucleotide excision repair	NA
ko03430	Mismatch repair	NA
ko03440	Homologous recombination	NA
ko03450	Non-homologous end-joining	NA
ko03460	Fanconi anemia pathway	NA
ko04010	MAPK signaling pathway	NA
ko04011	MAPK signaling pathway - yeast	NA
ko04012	ErbB signaling pathway	NA
ko04013	MAPK signaling pathway - fly	NA
ko04014	Ras signaling pathway	NA
ko04015	Rap1 signaling pathway	NA
ko04016	MAPK signaling pathway - plant	NA
ko04020	Calcium signaling pathway	NA
ko04022	cGMP-PKG signaling pathway	NA
ko04024	cAMP signaling pathway	NA
ko04060	Cytokine-cytokine receptor interaction	NA
ko04062	Chemokine signaling pathway	NA
ko04064	NF-kappa B signaling pathway	NA
ko04066	HIF-1 signaling pathway	NA
ko04068	FoxO signaling pathway	NA
ko04070	Phosphatidylinositol signaling system	NA
ko04071	Sphingolipid signaling pathway	NA
ko04072	Phospholipase D signaling pathway	NA
ko04075	Plant hormone signal transduction	NA
ko04080	Neuroactive ligand-receptor interaction	NA
ko04110	Cell cycle	NA
ko04111	Cell cycle - yeast	NA
ko04112	Cell cycle - Caulobacter	NA
ko04113	Meiosis - yeast	NA
ko04114	Oocyte meiosis	NA
ko04115	p53 signaling pathway	NA
ko04120	Ubiquitin mediated proteolysis	NA
ko04122	Sulfur relay system	NA
ko04130	SNARE interactions in vesicular transport	NA
ko04136	Autophagy - other	NA
ko04137	Mitophagy - animal	NA
ko04138	Autophagy - yeast	NA
ko04139	Mitophagy - yeast	NA
ko04140	Autophagy - animal	NA
ko04141	Protein processing in endoplasmic reticulum	NA
ko04142	Lysosome	NA
ko04144	Endocytosis	NA
ko04145	Phagosome	NA
ko04146	Peroxisome	NA
ko04150	mTOR signaling pathway	NA
ko04151	PI3K-Akt signaling pathway	NA
ko04152	AMPK signaling pathway	NA
ko04210	Apoptosis	NA
ko04211	Longevity regulating pathway	NA
ko04212	Longevity regulating pathway - worm	NA
ko04213	Longevity regulating pathway - multiple species	NA
ko04214	Apoptosis - fly	NA
ko04215	Apoptosis - multiple species	NA
ko04216	Ferroptosis	NA
ko04260	Cardiac muscle contraction	NA
ko04261	Adrenergic signaling in cardiomyocytes	NA
ko04270	Vascular smooth muscle contraction	NA
ko04310	Wnt signaling pathway	NA
ko04320	Dorso-ventral axis formation	NA
ko04330	Notch signaling pathway	NA
ko04340	Hedgehog signaling pathway	NA
ko04341	Hedgehog signaling pathway - fly	NA
ko04350	TGF-beta signaling pathway	NA
ko04360	Axon guidance	NA
ko04370	VEGF signaling pathway	NA
ko04371	Apelin signaling pathway	NA
ko04380	Osteoclast differentiation	NA
ko04390	Hippo signaling pathway	NA
ko04391	Hippo signaling pathway - fly	NA
ko04392	Hippo signaling pathway -multiple species	NA
ko04510	Focal adhesion	NA
ko04512	ECM-receptor interaction	NA
ko04514	Cell adhesion molecules (CAMs)	NA
ko04520	Adherens junction	NA
ko04530	Tight junction	NA
ko04540	Gap junction	NA
ko04550	Signaling pathways regulating pluripotency of stem cells	NA
ko04610	Complement and coagulation cascades	NA
ko04611	Platelet activation	NA
ko04612	Antigen processing and presentation	NA
ko04614	Renin-angiotensin system	NA
ko04620	Toll-like receptor signaling pathway	NA
ko04621	NOD-like receptor signaling pathway	NA
ko04622	RIG-I-like receptor signaling pathway	NA
ko04623	Cytosolic DNA-sensing pathway	NA
ko04624	Toll and Imd signaling pathway	NA
ko04626	Plant-pathogen interaction	NA
ko04630	Jak-STAT signaling pathway	NA
ko04640	Hematopoietic cell lineage	NA
ko04650	Natural killer cell mediated cytotoxicity	NA
ko04657	IL-17 signaling pathway	NA
ko04658	Th1 and Th2 cell differentiation	NA
ko04659	Th17 cell differentiation	NA
ko04660	T cell receptor signaling pathway	NA
ko04662	B cell receptor signaling pathway	NA
ko04664	Fc epsilon RI signaling pathway	NA
ko04666	Fc gamma R-mediated phagocytosis	NA
ko04668	TNF signaling pathway	NA
ko04670	Leukocyte transendothelial migration	NA
ko04672	Intestinal immune network for IgA production	NA
ko04710	Circadian rhythm	NA
ko04711	Circadian rhythm - fly	NA
ko04712	Circadian rhythm - plant	NA
ko04713	Circadian entrainment	NA
ko04720	Long-term potentiation	NA
ko04721	Synaptic vesicle cycle	NA
ko04722	Neurotrophin signaling pathway	NA
ko04723	Retrograde endocannabinoid signaling	NA
ko04724	Glutamatergic synapse	NA
ko04725	Cholinergic synapse	NA
ko04726	Serotonergic synapse	NA
ko04727	GABAergic synapse	NA
